timestamp,test-class,test-method,time,description,result
2021-06-08 22:20:19.087,acme.testing.manager.task.ManagerTaskListTest,list,6048,"[1] recordIndex=0, title=Tarea 1: tarea pública finalizada, initialMoment=2021/02/20 11:02, finalMoment=2021/02/22 21:37, workload=13.50, description=Esto es un ejemplo de una tarea pública finalizada",OK
2021-06-08 22:20:22.553,acme.testing.manager.task.ManagerTaskListTest,list,3229,"[2] recordIndex=1, title=Tarea 2: tarea privada finalizada, initialMoment=2021/02/18 12:02, finalMoment=2021/02/24 20:37, workload=20.40, description=Esto es un ejemplo de una tarea privada finalizada",Expected value 'Tarea 2: tarea privada finalizada' in attribute 0 of record 1, but found 'Tarea 4: tarea privada no finalizada'
2021-06-08 22:20:26.043,acme.testing.manager.task.ManagerTaskListTest,list,3266,"[3] recordIndex=2, title=Tarea 3: tarea pública no finalizada, initialMoment=2023/02/20 11:02, finalMoment=2023/02/22 21:37, workload=15.00, description=Esto es un ejemplo de una tarea pública no finalizada",Expected value 'Tarea 3: tarea pública no finalizada' in attribute 0 of record 2, but found 'Tarea 6: tarea privada no finalizada'
2021-06-08 22:20:29.486,acme.testing.manager.task.ManagerTaskListTest,list,3217,"[4] recordIndex=3, title=Tarea 4: tarea privada no finalizada, initialMoment=2023/03/20 11:02, finalMoment=2023/03/22 21:37, workload=12.10, description=Esto es un ejemplo de una tarea privada no finalizada",Expected value 'Tarea 4: tarea privada no finalizada' in attribute 0 of record 3, but found 'Tarea 7: tarea pública no finalizada'
2021-06-08 22:20:32.924,acme.testing.manager.task.ManagerTaskListTest,list,3242,"[5] recordIndex=4, title=Tarea 5: tarea pública no finalizada, initialMoment=2023/06/20 11:02, finalMoment=2023/06/22 21:37, workload=12.70, description=Esto es un ejemplo de una tarea pública no finalizada",Expected value 'Tarea 5: tarea pública no finalizada' in attribute 0 of record 4, but found 'Tarea 8: tarea pública no finalizada'
2021-06-08 22:20:36.394,acme.testing.manager.task.ManagerTaskListTest,list,3232,"[6] recordIndex=5, title=Tarea 6: tarea privada no finalizada, initialMoment=2023/07/20 11:02, finalMoment=2023/07/22 21:37, workload=13.40, description=Esto es un ejemplo de una tarea privada no finalizada",Expected value 'Tarea 6: tarea privada no finalizada' in attribute 0 of record 5, but found 'Tarea 10: tarea pública no finalizada'
