timestamp,test-class,test-method,time,description,result
2021-06-08 22:22:38.748,acme.testing.manager.task.ManagerTaskListTest,list,6073,"[1] recordIndex=0, title=Tarea 1: tarea pública finalizada, initialMoment=2021/02/20 11:02, finalMoment=2021/02/22 21:37, workload=13.50, description=Esto es un ejemplo de una tarea pública finalizada",OK
2021-06-08 22:22:44.942,acme.testing.manager.task.ManagerTaskListTest,list,5991,"[2] recordIndex=1, title=Tarea 4: tarea privada no finalizada, initialMoment=2023/03/20 11:02, finalMoment=2023/03/22 21:37, workload=12.10, description=Esto es un ejemplo de una tarea privada no finalizada",OK
2021-06-08 22:22:48.409,acme.testing.manager.task.ManagerTaskListTest,list,3251,"[3] recordIndex=3, title=Tarea 6: tarea privada no finalizada, initialMoment=2023/07/20 11:02, finalMoment=2023/07/22 21:37, workload=13.40, description=Esto es un ejemplo de una tarea privada no finalizada",Expected value 'Tarea 6: tarea privada no finalizada' in attribute 0 of record 3, but found 'Tarea 7: tarea pública no finalizada'
2021-06-08 22:22:51.863,acme.testing.manager.task.ManagerTaskListTest,list,3233,"[4] recordIndex=4, title=Tarea 7: tarea pública no finalizada, initialMoment=2023/04/20 11:02, finalMoment=2023/04/22 21:37, workload=15.20, description=Esto es un ejemplo de una tarea pública no finalizada",Expected value 'Tarea 7: tarea pública no finalizada' in attribute 0 of record 4, but found 'Tarea 8: tarea pública no finalizada'
2021-06-08 22:22:55.321,acme.testing.manager.task.ManagerTaskListTest,list,3228,"[5] recordIndex=5, title=Tarea 8: tarea pública no finalizada, initialMoment=2023/05/20 11:02, finalMoment=2023/05/22 21:37, workload=13.70, description=Esto es un ejemplo de una tarea pública no finalizada",Expected value 'Tarea 8: tarea pública no finalizada' in attribute 0 of record 5, but found 'Tarea 10: tarea pública no finalizada'
